symbol,date,open,high,low,close,volume
EEIQ,2026-03-13,2.98,3.18,2.67,2.72,9701.0
EEIQ,2026-03-16,2.6,2.62,2.22,2.37,28011.0
EEIQ,2026-03-17,2.43,2.51,2.42,2.44,9743.0
EEIQ,2026-03-18,2.5,2.52,2.28,2.28,2175.0
EEIQ,2026-03-19,2.26,2.29,2.16,2.23,3995.0
EEIQ,2026-03-20,2.1,2.1,1.9,1.91,14355.0
EEIQ,2026-03-23,1.9201,2.39,1.9,2.17,37075.0
EEIQ,2026-03-24,2.23,2.32,1.92,2.23,62303.0
EEIQ,2026-03-25,2.35,3.1,2.318,2.73,146902.0
EEIQ,2026-03-26,4.8,12.7,4.52,8.44,75755192.0
EEIQ,2026-03-27,6.25,8.0495,6.215,6.98,2019164.0
EEIQ,2026-03-30,10.51,11.21,7.15,8.19,6827354.0
EEIQ,2026-03-31,7.35,9.48,7.3,8.9,441891.0
EEIQ,2026-04-01,8.7,11.23,8.7,10.58,917203.0
EEIQ,2026-04-02,10.25,11.8,6.7,7.25,485996.0
EEIQ,2026-04-06,7.19,9.0,7.01,8.23,242200.0
